#,Episode Title,Season,Episode Number,URL
1.01,Pilot,1,1,https://clinic_duty.livejournal.com/385.html
1.02,Paternity,1,2,https://clinic_duty.livejournal.com/620.html
1.03,Occam's Razor,1,3,https://clinic_duty.livejournal.com/1018.html
1.04,Maternity,1,4,https://clinic_duty.livejournal.com/1082.html
1.05,Damned If You Do,1,5,https://clinic_duty.livejournal.com/1302.html
1.06,The Socratic Method,1,6,https://clinic_duty.livejournal.com/1549.html
1.07,Fidelity,1,7,https://clinic_duty.livejournal.com/1970.html
1.08,Poison,1,8,https://clinic_duty.livejournal.com/2292.html
1.09,DNR,1,9,https://clinic_duty.livejournal.com/2476.html
1.10,Histories,1,10,https://clinic_duty.livejournal.com/2704.html
1.11,Detox,1,11,https://clinic_duty.livejournal.com/3037.html
1.12,Sports Medicine,1,12,https://clinic_duty.livejournal.com/3275.html
1.13,Cursed,1,13,https://clinic_duty.livejournal.com/3557.html
1.14,Control,1,14,https://clinic_duty.livejournal.com/3637.html
1.15,Mob Rules,1,15,https://clinic_duty.livejournal.com/3931.html
1.16,Heavy,1,16,https://clinic_duty.livejournal.com/4285.html
1.17,Role Model,1,17,https://clinic_duty.livejournal.com/4358.html
1.18,Babies & Bathwater,1,18,https://clinic_duty.livejournal.com/4667.html
1.19,Kids,1,19,https://clinic_duty.livejournal.com/4910.html
1.20,Love Hurts,1,20,https://clinic_duty.livejournal.com/5241.html
1.21,Three Stories,1,21,https://clinic_duty.livejournal.com/5523.html
1.22,The Honeymoon,1,22,https://clinic_duty.livejournal.com/5691.html
2.01,Acceptance,2,1,https://clinic_duty.livejournal.com/6075.html
2.02,Autopsy,2,2,https://clinic_duty.livejournal.com/6272.html
2.03,Humpty Dumpty,2,3,https://clinic_duty.livejournal.com/6593.html
2.04,TB or Not TB,2,4,https://clinic_duty.livejournal.com/6814.html
2.05,Daddy's Boy,2,5,https://clinic_duty.livejournal.com/7081.html
2.06,Spin,2,6,https://clinic_duty.livejournal.com/7321.html
2.07,Hunting,2,7,https://clinic_duty.livejournal.com/7505.html
2.08,The Mistake,2,8,https://clinic_duty.livejournal.com/7736.html
2.09,Deception,2,9,https://clinic_duty.livejournal.com/8014.html
2.10,Failure to Communicate,2,10,https://clinic_duty.livejournal.com/8231.html
2.11,Need to Know,2,11,https://clinic_duty.livejournal.com/8508.html
2.12,Distractions,2,12,https://clinic_duty.livejournal.com/8943.html
2.13,Skin Deep,2,13,https://clinic_duty.livejournal.com/8997.html
2.14,Sex Kills,2,14,https://clinic_duty.livejournal.com/9291.html
2.15,Clueless,2,15,https://clinic_duty.livejournal.com/9496.html
2.16,Safe,2,16,https://clinic_duty.livejournal.com/9886.html
2.17,All In,2,17,https://clinic_duty.livejournal.com/10176.html
2.18,Sleeping Dogs Lie,2,18,https://clinic_duty.livejournal.com/10464.html
2.19,House vs. God,2,19,https://clinic_duty.livejournal.com/10749.html
2.20,Euphoria (1),2,20,https://clinic_duty.livejournal.com/10985.html
2.21,Euphoria (2),2,21,https://clinic_duty.livejournal.com/11244.html
